nome,sexo,banda,pais
Ally Brooke,Feminino,Fifth Harmony,EUA
Normani,Feminino,Fifth Harmony,EUA
Camila Cabello,Feminino,Fifth Harmony,Cuba
Dinah Jane,Feminino,Fifth Harmony,EUA
Lauren Jauregui,Feminino,Fifth Harmony,EUA
JADE,Feminino,Little Mix,Inglaterra
Perrie,Feminino,Little Mix,Inglaterra
Leigh Anne,Feminino,Little Mix,Inglaterra
Jesy Nelson,Feminino,Little Mix,Inglaterra
Liam Payne,Masculino,One Direction,Inglaterra
Niall Horan,Masculino,One Direction,Irlanda
Harry Styles,Masculino,One Direction,Inglaterra
Louis Tomlinson,Masculino,One Direction,Inglaterra
ZAYN,Masculino,One Direction,Inglaterra
