title,lyrics,release_date,Album,release_year,Word Count
Work From Home, camila worried nothin wearin nada sittin pretty impatient know gotta hours make harder sendin picture fired  normani dinah know always night shift stand nights alone need explanation cause baby boss home  lauren gotta work work work work work work work gotta work work work work work work work gotta work work work work work work work body work work work work work work work work home work home  ally ally dinah motion give promotion make feel like vacay turn ocean need nobody need body nothing sheets between getting early  dinah dinah camila camila know always night shift stand nights alone need explanation cause baby boss home yeah yeah  lauren gotta work work work work work work work gotta work work work work work work work gotta work work work work work work work body work work work work work work work work home work home  dolla dolla yeah girl work work make clap hands yeah take ground pick look back yeah work like timesheet ride like woah line ride foreign break rules ride juug finessin pipe take that overtime body  lauren camila dinah lauren camila gotta work gotta work work work work work work work gotta work woah work work work work work work yeah gotta work work work work work work work body work work work work work work work work work yeah yeah work home work home  camila yeah work home yeah work home yeah,2016-02-26,7/27 (Japan Deluxe Edition),2016,246
Worth It, camila give worth baby worth worth gimme gimme worth give worth baby worth worth gimme gimme worth post  okay tell bring back like left some bring bring back like left some club lights what actin come show with stop playin know with what actin  dinah just give give just give that wanna true true might give talk stuff guaranteed back think call bluff hurry waitin front  normani spot like love style show cause wanna waste time spot like love style show come make worth while  camila give worth baby worth worth gimme gimme worth give worth baby worth worth gimme gimme worth  camila wanna clue clue tell come harder because like like soft soft like little rough much maybe enough  ally spot like love style show cause wanna waste time spot like love style show come make worth while  camila give worth baby worth worth gimme gimme worth give worth know mean baby worth give everythin worth gimme gimme worth post  okay tell bring back like left some bring bring back like left some club lights what actin come show with stop playin know with what actin  ally normani ally spot like love style show cause wanna waste time spot like love style show come make worth while  camila give worth baby worth worth gimme gimme worth give worth know mean baby worth give everythin worth gimme gimme worth  camila give worth,2015-01-30,Reflection (Japan Deluxe Edition),2015,244
Down, gucci mane gucci fifth harmony  lauren need somebody patience cause know temperament yeah reputation nothin little love there kind situation where cross line interrogation would  dinah when push come shove show love when push come shove  lauren normani long holding down down down keep lovin down down down long holding down down down keep lovin down down down keep lovin  normani dinah ally type could bake bake cause baby know take cake take cake wait cause baby know worth wait  ally ally dinah lauren when push come shove show love show love when push come shove  fifth harmony gucci mane long holding down down down keep lovin down down down long holding down down down keep lovin down down gucci keep lovin  gucci mane like bonnie clyde walked gangsta bride walked yeah team ballin ball showin ring like jordan hold like hold never tell soul told when sittin cell showed takes real damn that coupe seat coupe that game floor seats diamonds nosebleeds bleed make feel like trophy gucci  fifth harmony lauren ally normani dinah long holding down down down keep lovin down down down keep lovin down long holding down down down long holding down love down keep lovin down down down long holding down down down long holding down yeah keep lovin down down down down down down down down long holding down down down love down keep lovin down down down long loving babe keep lovin,2017-06-02,Fifth Harmony,2017,248
That’s My Girl, camila that girl  ally ally camila yeah working damn hard head overload flawless body achin head refrain normani ally dinah nothin nothin ladies round world nothin nothin good girls better  lauren camila before hurt before before good good  normani lauren destiny said independent ever forget dirt shoulder brush feeling five high that girl post  ally camila lauren that girl that girl that girl what waitin that girl that girl that girl that girl girl interlude camila that girl  dinah dinah camila lauren camila played every just tryna show yeah thought best ever until refrain normani ally dinah nothin nothin know worth nothin nothin good girls better  lauren camila dinah hurt before good good  normani camila lauren destiny said independent ever forget ever forget dirt shoulder brush feeling five high feeling five high that girl that girl post  camila that girl that girl that girl what waitin that girl woah that girl that girl that girl  lauren camila before hurt before before good good baby  dinah lauren camila dinah ally dinah destiny said independent ever forget ever forget dirt shoulder brush feeling five high that girl woah woah post  camila lauren dinah that girl that girl that girl that girl what waitin that girl that girl that girl that girl that girl that girl bridge normani lauren camila nothin nothin nothin heart soul nothin nothin nothin nothin heart soul yeah yeah post bridge camila that girl that girl that girl that girl  camila dinah normani that girl that girl that girl that girl baby that girl,2016-05-27,7/27 (Japan Deluxe Edition),2016,268
All in My Head (Flex), dinah flex time impress come climb thing head  fetty wanna flex baby wanna flex baby tryna chill throwin bands flexible baby flexible baby show different moves groove cause meant baby cause meant baby make history baby make history baby come flex baby refrain ally curtains like waves closing around dimming lights blind tongue cheek laying roses touching skin leaving hopeless  lauren wanna feel feel body body body wanna feel feel  dinah normani flex time impress come climb thing head flex time impress come climb thing head yeah refrain camila curtains like waves closing around yeah yeah yeah dimming lights blind tongue cheek laying roses touching skin leaving hopeless  lauren wanna feel feel body body body wanna feel feel  dinah normani flex time impress come climb thing head flex time impress come climb thing head yeah  fetty want come flex baby yeah babe want need yeah babe motherf yeah babe they flex know take hundred thousand blow yeah another hundred thou rover yeah come flex over come flex over yeah babe  lauren wanna feel feel body body body wanna feel feel  dinah normani flex time impress time impress come climb come climb thing head flex flex flex time impress yeah come climb climb thing thing yeah head yeah  fetty dinah normani wanna flex baby head yeah zoovier baby head yeah wanna flex baby head yeah baby head,2016-05-27,7/27 (Japan Deluxe Edition),2016,236
He Like That, ally normani pumps bump pumps bump  dinah good attitude yeah kinda like tats girl excited bass beat beat inside pumps bump know wanna  normani pumps bump pumps bump like girls pumps bump pumps bump pumps bump girl pumps bump  lauren normani like bang bang bang like bomb bomb bomb like love love love like drug drug drug trip taste want like bang bang bang like bomb bomb bomb like love love love like drug drug drug trip taste want yeah  ally ally dinah ally lauren rough neck swaggy know hide dope cash nine five thing girls make money overnight know health still wanna  normani dinah both pumps bump pumps bump like girls pumps bump pumps bump pumps bump girl pumps bump  lauren normani ally like bang bang bang like bomb bomb bomb like love love love like drug drug drug trip taste want taste want like bang bang bang like bang like bomb bomb bomb like bomb like love love love like love like drug drug drug like drug trip taste want taste want bridge lauren ally bang love bang bomb love bomb bomb bomb love love thang drug love lose brain going stupid dumb stupid dumb ever want some  normani dinah lauren pumps bump pumps bump like girls pumps bump pumps bump know wants some wants some pumps bump girl pumps bump  lauren dinah normani like bang bang bang yeah like bomb bomb bomb woah like love love love like drug drug drug trip trip yeah taste want taste want like bang bang bang like bomb bomb bomb like like that love love love like drug drug drug trip taste want want yeah  dinah dinah normani ally pumps bump yeah yeah woah yeah,2017-08-25,Fifth Harmony,2017,294
Don’t Say You Love Me, lauren miss when call hurting without scars promise tonight without tomorrow love unless  lauren close inconsistent hold heart safer distance yeah think words ease tension deny something missing  dinah normani need little more need little more gotta know like know before waiting patient need little more  normani miss when call hurting without scars promise tonight without tomorrow love unless unless  ally ally dinah supposed take when weeks still waiting okay fake yeah even yeah something missing  dinah normani normani need little more need little need little more gotta know like know before waiting patient need little more  dinah lauren dinah lauren miss when call when call hurting without scars promise tonight without tomorrow love unless unless post  lauren ally dinah ally love love unless unless love yeah love promise tonight without tomorrow love yeah unless unless bridge dinah need little more need little more gotta know like know before waiting patient yeah need little yeah  ally normani miss when call when call hurting without scars promise tonight without tomorrow love unless,2017-08-25,Fifth Harmony,2017,180
Angel, normani lauren said angel said angel yeah  normani moment nothin serious never really paid mind dropped started payin attention should never lied should never kept word woulda reason keep mine inconsistent should never lied  lauren should never crossed line everything cool drinkin young handcuffs wasn tryna spend life phone gotta keep hundred original fuck beginning fuck  dinah lauren dinah ally said angel said angel yeah when look open eyes brilliant ever said angel  ally yeah yeah might told lies yeah didn worth tries yeah track star think runnin streets runnin streets stay makin ground like wear cleats yeah  dinah should never crossed line everything cool drinkin young handcuffs wasn tryna spend life phone gotta keep hundred original fuck beginning fuck  dinah normani ally said angel wrong yeah said angel angel look when look what open eyes brilliant ever said angel said angel break want want want want want  normani lauren dinah normani dinah said angel said angel didn know real angel said angel never took time never time figure look when look what open eyes brilliant ever yeah said angel said angel,2017-08-10,Fifth Harmony,2017,190
BO$$,  normani every payday swipe card talking lady want kanye that maybach volvo this convo beat like already know tryna  lauren camila baller tryna holla brought next workin money cause that mama taught better show respect  normani michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars  normani that confident want compliments common sense michelle obama shut mouth think know house thirstin cause already know tryna  lauren camila baller tryna holla brought next workin money cause that mama taught better show respect  normani camila ally michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars woah michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars bridge ally lauren camila ally pledge allegiance independent girls here woah baby yeah come hear yeah yeah yeah yeah break normani camila  lauren camila camila baller tryna holla brought next workin money cause that mama taught better show respect  normani ally michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars michelle obama michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars yeah  ally,2014-07-07,Reflection (Japan Deluxe Edition),2014,214
No Way, lauren know want anymore look face they when rains pours tell face  normani camila know know before think know audience callin crazy ignore those opinions hate like rest them friends insanity lately  lauren everyone comes scars love away told perfect told same think that belong together unashamed told perfect post  lauren normani  ally ally normani when look eyes soul know core good tarnished hero  dinah normani dinah normani know know know story told told only know audience callin crazy ignore those opinions hate like rest them friends insanity lately  lauren everyone comes scars love away told perfect told same think that belong together unashamed told perfect post  lauren normani  lauren normani,2016-05-27,7/27 (Japan Deluxe Edition),2016,120
