title,lyrics,release_date,Album,release_year,Word Count
Secret Love Song,jesy jade when hold street kiss dance floor wish could like that like that cause yours  jade jesy keep behind closed doors every time little more stolen moments steal curtain falls never enough obvious meant every piece fits perfectly every second every thought deep never show face  jesy know this love hopeless  perrie hold street kiss dance floor wish could like that like that cause yours  jason derulo when call name like does feel same would leave ready settle down would play safe stay  jason derulo girl know this love hopeless  perrie jason derulo jason derulo hold street kiss dance floor wish wish could like that like that cause yours bridge jason derulo leigh anne leigh anne jason derulo nobody knows love someone baby wanna hide away tell world love making living someday breakdown jason derulo jesy hold street kiss dance floor wish could like that like that cause yours yours  leigh anne jason derulo perrie perrie jason derulo hold street hold street kiss dance floor dance floor wish could like wish like that wish cause cause yours love love wanna shout rooftops shout rooftops wish could like wish like that cause yours  jade like that wish could like,2015-11-06,Between Us,2015,208
Shout Out To My Ex,perrie this shout heard love chick yeah yeah hurt admit forget hope gettin better hope fakin like babe took four long years call quits forget  jade guess thank hate tattoos baby cool sure loved anyway head babe live life life yeah  shout really quite made heart break made here look well swear never bring down shout really quite made heart break made here look well swear never never bring down  jesy jade leigh anne deleted pics then blocked number phone yeah yeah took could gettin love cause livin legit legit even though broke heart baby scoop scoop snapped right back brand baby brand read lips  leigh anne guess thank hate yous tattoos baby cool sure loved anyway head babe live life life yeah  jesy shout really quite made heart break made here look well swear never bring down shout really quite really quite made heart break made here look well swear never never bring down post  jade perrie jade never bring down yeah bridge perrie shout really quite made heart break made here look well swear never never bring down  leigh anne perrie jade shout really quite quite made heart break made here look well swear never bring never bring down shout really quite made heart break made here look baby look well swear never never bring down  jade jesy yeah never bring,2016-10-16,Between Us,2016,232
Power,perrie hold chick walk behind around town just cause packin packin whoop south that mean ever gonna take lying down baby  jesy jade perrie machine catching fire gasoline just cause packin packin whoop south that mean ever gonna take lying down baby  jade power make rain make make make shower know control come take wheel long forget post  jesy power power power power hold turn  jesy make look easy tick tick boom like gasoline yeah call lamborghini cause know worth zero hundred body make stutter start engine push button cause coming first  leigh anne jade machine catching fire gasoline just cause packin packin whoop south that mean ever gonna take lying down baby  leigh anne leigh anne jade power make rain make make make shower know control come take wheel long forget yeah yeah post  power power power power power power power power power bridge leigh anne jade perrie fooled wrapped arms animal thinking innocent wait till home baby know control breakdown jesy motorbike motorbike motorbike motorbike bike bike bike bike bike bike bike bike bike bike whoop  leigh anne perrie jesy power make rain rain make make make shower make shower know control control come take wheel long forget long forget yeah yeah yeah yeah power woah make rain make make make shower make rain make rain know control come take wheel long forget take wheel forget post  leigh anne jade power power power cause power power power yeah yeah yeah woah power baby forget power yeah power yeah yeah  jesy motorbike motorbike motorbike motorbike bike bike bike bike bike bike bike bike bike bike whoop,2016-11-18,Between Us,2016,278
Woman Like Me,jesy always feeling born without mouth sometimes even mean takes little figure  leigh anne like coffee sugars high heels jewellery dripping drink fired insecure working many things could give  jade perrie jess glynne made mistakes regret nightly broke couple hearts wear sleeve mama always said girl trouble wonder could fall woman like every time touch make feel weak tell think sweet spending every night covers still wonder could fall woman like woman post  jade jess glynne woman like like woman like woman like like woman like woman woman like like woman like woman like like woman like  jesy baby mine weekend takeaway couch could evening hopefully kissing mouth  leigh anne blue jeans them hair fingers love turn yonc little love drunk middle favorite song  jade perrie jess glynne made mistakes regret nightly broke couple hearts wear sleeve mama always said girl trouble wonder could fall woman like every time touch make feel weak tell think sweet spending every night covers still wonder could fall woman like woman post  jade jess glynne woman like like woman like woman like like woman like woman woman like like woman like woman like like woman like  nicki minaj woman like woman like soon brush could tell like know mandem swipe kyuh knotted could afford tell there trini bitch inna area bitches merrier come baddies left right little scarier rude tell handle derri million getting billy greatest time cause chameleon switch every really bomb these bitches really wanna nicki really apple check want money seven grip leave bloody queen little skated sorry daddy indian swish curry bridge jade woman like like woman like woman like like woman like  jade perrie jade perrie jesy leigh anne made mistakes regret nightly broke couple hearts wear sleeve mama always said girl trouble wonder could fall woman like like woman like yeah every time touch make feel weak tell think sweet spending every night covers still wonder could fall woman like fall woman woman like post  jade jesy leigh anne nicki minaj woman like like woman like like woman like like woman like like woman like woman like woman like like woman like woman like like woman like said woman like woman like woman like yeah woman like young money,2018-10-12,Between Us,2018,382
Black Magic,leigh anne girls block knocking door wanna know make boys want more  perrie jade lover playing side said loves time here answer come knocked price full honey make sweet crystal balling help what missing come while still time  leigh anne knees repeat  jade take secret potion make fall love spell broken drop enough belong recipe called black magic called black magic yeah take secret potion taste mine spell broken keep night belong recipe called black magic called black magic yeah  jesy lookin mister right need magic change night here answer come while still time  leigh anne knees repeat  jade jesy jade perrie take secret potion make fall love spell broken drop enough belong recipe called black magic called black magic yeah take secret potion taste mine spell broken keep night night belong recipe called black magic called black magic bridge leigh anne jade girls block knocking door recipe wanna know make boys want belong girls block knocking door recipe wanna know make boys want belong breakdown leigh anne leigh anne perrie take secret potion make fall love spell broken drop enough belong recipe called called called black magic called black magic woah  leigh anne jade take secret potion taste mine mine spell broken keep night belong belong recipe called black magic called called black magic  perrie jade yeah falling love falling love yeah yeah falling love falling love falling love falling love love yeah falling love falling love magic,2015-05-21,Between Us,2015,248
Touch,leigh anne nobody else feeling feelings never felt spell keep yourself  perrie take feel like first time faking fingers buttons playing master anticipation keep yourself  just touch love enough knock feet week just touch just touch just touch love enough take control whole body just touch just touch just touch love enough knock feet week just touch just touch just touch love enough take control whole body just touch just touch  jesy leigh anne photograph shirt making wait long wait long promise keep secret never tell keep yourself  jade take feel like first time faking fingers buttons playing master anticipation keep yourself yourself  jade perrie leigh anne jesy just touch love enough knock feet week just touch just touch just touch just touch just touch love enough take control whole body just touch just touch touch just touch just touch touch just touch love enough knock feet week knock feet just touch woah just touch just touch love enough take control whole body body just touch your yeah just touch bridge perrie jade whole week whole week golden yeah yeah yeah glowing that feel feel afraid fade emotions yeah yeah cause know could something real  perrie jade jesy leigh anne just touch love enough knock feet week knock feet just touch just touch just touch your love just touch love enough take control whole body body just touch baby touch love just touch touch your just touch love enough enough knock feet week knock feet week just touch just touch just touch just touch yeah just touch love enough take control whole body yeah just touch just touch just touch love,2016-11-15,Between Us,2016,278
Wasabi,jade stick like toffee like coffee wake change mind drop love hate crazy shady spit like wasabi lick sweet salty body love hate praise shame either talk  jesy love talk look shit papers write fold like origami like wearin clothes when goin solo gonna break hell know  leigh anne jesy baby feel hatin baby yeah glad inspiration baby guess topic conversation refrain jesy ugly things come face  jade stick like toffee like coffee wake change mind drop love hate crazy shady spit like wasabi lick sweet salty body love hate praise shame either talk  perrie leigh anne watchin watchin watching what hope like view check best believe never words  leigh anne jesy baby feel hatin baby yeah glad inspiration baby guess topic conversation refrain jesy ugly things come face  stick like toffee like coffee wake change mind drop love hate crazy shady spit like wasabi lick sweet salty body love hate praise shame either talk  jesy know love talk look make shit write fold like origami like wearing clothes when goin solo gonna break hell know,2018-11-16,Between Us,2018,184
Sweet Melody,jesy  jade whole nother life knew made feel like woman young silly fools anyway band wrote love songs crazy bout words melodies sweet went something like refrain jesy  jesy jesy leigh anne leigh anne every time dancing straying eyes gave many chances pushed keys many times anyway start actin leave stopped tracks heard melody went like refrain leigh anne leigh anne jade  used sing sweet melodies played made believe real love sang sweet melodies wrong song used sing sweet melodies played made believe real love sang sweet melodies wrong song  perrie perrie leigh anne perrie jesy would would cheat syncopated beats tiny dancer control feet came along that lost groove there song world sing along make move sounded something like refrain jesy leigh anne perrie  perrie jade jesy used sing sweet melodies woah played made believe real love sang sweet melodies wrong yeah song couldn used sing sweet melodies sweet sweet melodies played made believe real love real love sang sweet melodies wrong wrong song post  jesy leigh anne jade perrie woah bridge jade leigh anne used sing sweet melodies played made believe real love sang sweet melodies wrong wrong song yeah  perrie jade leigh anne jesy used sing sweet melodies melodies yeah played made believe real love real love sang sweet melodies wrong wrong song yeah used sing sweet melodies sing sweet melodies yeah played dies made believe real love real love sang sweet melodies wrong song,2020-10-23,Between Us,2020,246
Joan of Arc,leigh anne damn  leigh anne foot club everybody watch booty everybody love reason cocky make feel sexy myself stannin myself love much hands myself myself stannin myself love much hands myself  perrie jade perrie feel like cleopatra joan queen hearts yeah tonight matters feminist hell yeah  jesy leigh anne need lovin cause cause want cash rock hand rock hand rock hand what need lovin cause  jade make double spare enemies dress make feel sexy myself stannin myself love much hands myself myself stannin myself love much keep hands myself  perrie jade perrie feel like cleopatra joan queen hearts yeah tonight matters feminist hell yeah  jade leigh anne need need lovin cause cause want cash rock hand rock hand rock hand need lovin cause bridge leigh anne yeah take control drop like want more freak floor drop thighs sore take control drop like want more freak floor drop thighs sore  jesy leigh anne perrie need need lovin cause cause want cash rock hand rock hand rock hand need lovin cause leigh tell need need lovin cause cause want cash rock hand rock hand rock hand need lovin cause,2018-11-02,Between Us,2018,195
Confetti,jesy wanna celebrate like club every friends need need dress need stress baby done need need  leigh anne should left time didn love then used home diamonds neck shine blocking blessings anymore never girl before good things rain down  jade jesy from drop like confetti yeah yeah dreams from drop like confetti drop down missin finally free need rain like confetti  jade perrie flashing lights worry mind know realised that need need name like birthday memory need need  leigh anne jade should left time time didn love then good things life rain down  perrie jesy jade leigh anne from drop like confetti eyes yeah yeah dreams dreams from drop like confetti woah drop down missin missin yeah finally free finally free need rain like confetti rain like confetti rain down post  jesy leigh anne jade rain rain down rain rain down rain down rain rain down rain down rain bridge jade jesy leigh anne cause live life kill vibe doin much better good tonight good tonight good things life good things life rain down  perrie perrie jade leigh anne jesy from drop like confetti woah eyes dreams dreams woah from drop like confetti drop down missin missin finally free finally free need need rain down rain like confetti rain down post  jesy perrie leigh anne rain rain down rain rain down rain rain down rain,2020-11-04,Between Us,2020,234
