title,lyrics,release_date,Album,release_year,Word Count
Night Changes, zayn liam goin tonight changes somethin mother like kind dress everything never showin drivin fast moon breakin hair headin somethin forget havin regrets really wants  harry gettin older baby thinkin lately does ever drive crazy just fast night changes everything ever dreamed disappearin wake there nothin afraid even night changes never change  louis niall chasin tonight doubts runnin round head waitin hides behind cigarette heart beatin loud want stop movin fast moon lightin skin fallin even know havin regrets really wants  harry gettin older baby thinkin lately does ever drive crazy just fast night changes everything ever dreamed disappearin wake there nothin afraid even night changes never change post  liam bridge zayn goin tonight changes somethin mother like kind dress reminds missin piece innocence lost  harry gettin older baby thinkin lately does ever drive crazy just fast night changes everything ever dreamed disappearin wake there nothin afraid even night changes never change baby never change baby never change,2014-11-14,FOUR (The Ultimate Edition),2014.0,164
What Makes You Beautiful, liam insecure know turnin heads walk door need makeup cover bein enough  harry everyone else room everyone else  harry baby light world like nobody else flip hair gets overwhelmed smile ground hard tell know know beautiful understand want desperately right looking believe know know beautiful that makes beautiful  zayn come wrong prove right song know turn away look eyes  harry everyone else room everyone else  harry baby light world like nobody else body else flip hair gets overwhelmed smile ground hard tell know know beautiful understand want desperately right looking believe know know beautiful that makes beautiful bridge breakdown harry baby light world like nobody else flip hair gets overwhelmed smile ground hard tell know know beautiful  harry zayn baby light world like nobody else light world like nobody else flip hair gets overwhelmed smile ground smile ground hard tell know know beautiful woah understand want desperately desperately right looking believe know know know beautiful know beautiful that makes beautiful written savan kotecha,2011-09-11,Up All Night (The Souvenir Edition),2011.0,170
Story of My Life, harry liam written walls stories explain leave heart open stays right empty days told mornin feel bones seems words written stone  zayn gone gone tonight ground beneath feet open wide holding tight with nothing between  harry story life take home drive night keep warm time frozen story story story life give hope spend love broke inside story life story story  niall liam written walls colors change leave heart open stays right cage know mornin light hill although broken heart untamed still  louis gone gone tonight fire beneath feet burning bright holding tight with nothing between  harry story life take home drive night keep warm time frozen story story story life give hope spend love broke inside story life story story bridge zayn waiting time come around baby running like chasin clouds breakdown niall story life take home drive night keep warm time frozen  zayn story life give hope give hope spend love broke inside broke inside story life story story  harry story life story life story story story life,2013-10-28,Midnight Memories (Japan Edition),2013.0,177
Perfect, louis might never knight shinin armour might never take home mother might never brings flowers tonight  liam when first across room could tell curious yeah girl hope sure looking cause good making promises  harry like causing trouble hotel rooms like secret little rendezvous like things know then baby perfect baby perfect like midnight driving windows down like goin places even pronounce like whatever dreamin about then baby perfect baby perfect start right  niall might never hands heart arms hold time want them mean live moment cause love time time  liam when first across room could tell curious yeah girl hope sure looking cause good making promises  harry like causing trouble hotel rooms like secret little rendezvous like things know then baby perfect baby perfect like midnight driving windows down like goin places even pronounce like whatever dreamin about then baby perfect baby perfect start right bridge harry like cameras flashin every time yeah looking someone write breakup songs about then baby perfect baby perfect  harry like causing trouble hotel rooms like secret little rendezvous like things know then baby perfect baby perfect like midnight driving windows down like goin places even pronounce like whatever dreamin about then baby perfect baby perfect start right,2015-10-16,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,210
Drag Me Down, harry fire heart scared dark never seen look easy river soul baby boat baby reason  louis would nothing left shell could never best never taught someone yeah  liam niall liam life stood when else ever behind lights blind with love nobody drag down life stood when else ever behind lights blind with love nobody drag down post  louis harry nobody nobody nobody drag down nobody nobody nobody drag down  niall niall liam fire heart scared dark never seen look easy river soul baby boat baby reason  harry liam harry would nothing left nothing left shell could never best best never taught someone yeah  niall liam life stood when else ever behind lights blind with love nobody drag down post  louis harry nobody nobody nobody drag down nobody nobody nobody drag builtup liam life stood when else ever behind lights blind with love nobody drag down  niall liam harry life stood when else ever behind lights blind with love nobody drag nobody drag down post  louis harry nobody nobody nobody drag down yeah nobody nobody nobody drag down nobody nobody nobody drag down down nobody nobody nobody drag,2015-07-31,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,197
18, harry heart soul believe both made start false know baby want feel alone  zayn kiss down hands pressed cheeks long playground  harry loved since eighteen long thought thing loved love arms made holdin wanna love like made feel when eighteen  niall liam took chance knows tried along knew fine pour drink love split night wide open everything living love slow motion motion motion  zayn kiss hands pressed cheeks long playground  zayn loved since eighteen long thought thing loved love arms made holdin wanna love like made feel when eighteen post  niall when eighteen lord when eighteen bridge zayn kiss down hands pressed cheeks long playground breakdown louis loved since eighteen long thought thing loved love  zayn harry arms made holdin wanna love like made feel when eighteen eighteen  harry niall wanna love like made feel when eighteen eighteen yeah wanna love like made feel when eighteen,2014-11-17,FOUR (The Ultimate Edition),2014.0,155
History, harry gotta help losing mind keep getting feelin wanna leave behind refrain harry thought going strong thought holdin aren  niall teach this school heart breakin know refrain niall thought going strong thought holdin aren  liam whole history could greatest team that world ever seen whole history make more live forever  liam rumours fights always find make alive refrain liam thought going strong thought holdin aren  liam whole history could greatest team that world ever seen whole history make more live forever bridge louis minibars expensive cars hotel rooms tattoos good champagne private planes mean anything cause truth realise that without here life this make know know  liam whole history could greatest team that world ever seen whole history make more live forever whole history could greatest team that world ever seen whole history make more live forever  harry liam live forever baby know baby know live forever,2015-11-06,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,154
If I Could Fly, harry could coming right back home think might give everything  liam attention hope listen cause guard down right completely defenceless  harry eyes only show heart lonely forget missing half apart know eyes only eyes only  louis scars even though always seen pain gets hard feel thing  niall niall liam attention hope listen cause guard down right completely defenceless  eyes only show heart lonely forget missing half apart know eyes only eyes only bridge louis harry harry niall harry feel heart inside mine feel feel going mind feel feel know wasting time hope breakdown louis niall harry liam eyes only show heart lonely forget missing half apart know eyes only  niall eyes only show heart show heart lonely forget forget missing half apart know eyes only eyes only  harry eyes,2015-11-13,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,137
Little Things, zayn zayn liam liam your hand fits mine like made bear mind meant joinin dots freckles cheeks makes sense know never loved crinkles eyes smile never loved stomach thighs dimples back bottom spine love endlessly  zayn liam little things slip mouth love little things  louis louis harry harry harry niall without maybe that reason talk sleep conversations secrets keep though makes sense know never loved sound voice tape never want know much weigh still squeeze jeans perfect  harry niall little things slip mouth true love little things bridge niall never love half much love never treat right darling want know maybe love like love breakdown harry little things slip mouth cause love little things  little things slip mouth true love little things,2012-11-09,Take Me Home (Special Deluxe Edition),2012.0,127
You & I, niall liam figured figured black white seconds hours maybe take time know goes know goes wrong right silence sound ever hold tight like ever fight like  harry wanna like them make till nothing come even gods above separate nothing come post  harry  zayn liam louis liam figured mistakes down meet middle there always room common ground like like night never together cause things different light like never tried like  harry wanna like them make till nothing come even gods above separate  zayn cause wanna like them make till nothing come nothing come between yeah even gods above separate nothing come post  harry zayn  harry zayn could make,2013-11-25,Midnight Memories (Japan Edition),2013.0,115
Steal My Girl,  zayn queen since sixteen want things dream dreams alright alright cause calls love calls alright alright  niall know know know sure  everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs post  liam yeah alright belongs  liam louis liam louis kisses like cream walk mean every drops jeans alright alright exist shine world turn alright alright  niall know know know sure  everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs post  liam yeah alright bridge harry knows knows that never before knows knows that never gonna another take love  zayn everybody wanna steal girl wants steal girl everybody wanna take heart away wants take love away couple billion whole wide world find another cause belongs well find another cause belongs everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs yeah post  niall zayn yeah alright yeah alright belongs belongs yeah yeah alright belongs,2014-09-29,FOUR (The Ultimate Edition),2014.0,216
No Control, louis  niall harry stained coffee just fingerprint lipstick enough sweet still trace innocence pillow case  louis waking beside loaded contain anymore yours control control powerless care obvious enough pedal down eyes closed control post  louis  liam harry taste tongue want wash away night before heat could stay right burn  louis waking beside loaded contain anymore yours control control powerless care obvious enough pedal down eyes closed control bridge zayn lost senses defenseless perfume holding ransom sweet sour heart devoured lying here count hours  louis waking beside loaded contain anymore yours control control powerless care obvious enough pedal down eyes closed control  louis control control powerless care obvious enough pedal down eyes closed control,2014-11-17,FOUR (The Ultimate Edition),2014.0,121
