title,lyrics,release_date,Album,release_year,Word Count
Havana, pharrell williams  camila cabello pharrell williams havana half heart havana took back east atlanta heart havana there somethin bout manners havana  camila cabello pharrell williams walk doin when came room said there girls without knew forever minute that summer night june papa says malo  camila cabello pharrell williams feelin like knew loved left feelin like tell  camila cabello pharrell williams havana half heart havana took back east atlanta heart havana heart havana havana  young thug jeffery just graduated fresh campus fresh east atlanta manners damn fresh east atlanta bump bump bump bumper like traffic quick girl like uncle here back back shawty cravin eatin waited what shawty cakin bacon wait this history makin homie homie point blank close range cost million that that gettin mula baby  camila cabello pharrell williams havana half heart havana took back east atlanta heart havana heart havana havana bridge starrah camila cabello both take back back back like yeah babe take back back back like yeah yeah take back back back like yeah babe take back back back take back havana  camila cabello pharrell williams havana half heart havana yeah took back east atlanta heart havana heart havana havana  starrah camila cabello yeah take back havana,2017-08-03,Camila [Target Exclusive],2017.0,210
Never Be The Same, somethin must gone wrong brain chemicals veins feelin highs feelin pain wheel that bullet lane seein thinkin straight blurrin lines intoxicate  just like nicotine heroin morphine suddenly fiend need need yeah need  babe sucker move babe could would useless blame just knew never same babe sucker move babe could would useless blame just knew never ever ever same post  never same never same never same  sneakin lights touch could overdose said stop playin safe girl wanna lose control  just like nicotine heroin morphine suddenly fiend need need yeah need  babe sucker move babe could would useless blame just knew never same babe sucker move babe could would useless blame just knew never ever ever same post  never same never same never same bridge blood veins head blame blood veins head blame  sayin babe sucker move babe could would useless blame blame just knew never never babe yeah sucker move babe yeah could would useless blame just knew never ever ever,2017-12-07,Camila [Target Exclusive],2017.0,169
Crying In The Club, think without know that tell yourself fear alone forever true true true  arms around tonight music lift like never high open heart music lift like never free feel sunrise music warm body like heat thousand fires heat thousand fires  crying club beat carry away tears fall baby crying club with little faith tears turn ecstasy crying club crying club crying club  think without know that told yourself fear never meet another pure true true true  arms around tonight music lift like never high open heart music lift like never free feel sunrise music warm body like heat thousand fires heat thousand fires  crying club beat carry away tears fall baby crying club with little faith tears turn ecstasy crying club crying club crying club bridge think without know that tell yourself fear alone forever true true true said crying crying club crying said crying crying club crying woah  crying club beat carry away tears fall baby crying club with little faith tears turn ecstasy crying club crying club crying club more crying club more crying club,2017-05-19,NOW That’s What I Call Music! 97 [UK],2017.0,183
Shameless, speak secret longest time hide been running longest time  many mornings woke confused dreams anything want emotions naked taking mind  right shameless screamin lungs afraid face need want need want show shameless write neck erase need want need want post  wanna wanna wanna wanna  there real want still kisses history back long time tired loving somebody that mine  many mornings woke confused dreams anything want emotions naked taking mind mind  right shameless screamin lungs afraid face need want need want show shameless write neck erase need want need want post  wanna wanna wanna wanna bridge distance inches want give want give weakness tension wanna give care forgiven  right shameless screamin lungs afraid face need want need want show shameless write neck erase need want need want post  wanna wanna wanna wanna,2019-09-05,Romance,2019.0,141
Real Friends, think stay tonight skip conversations fine stranger surprise this paper town many times even give reason thought could trust never mind switching sides where draw line guess naive read signs  lookin real friends ever down every time somebody then find about lookin real friends wonder hidin lookin real friends gotta town post  yeah  stay talkin moon been feelin alone every crowded room help feel like somethin wrong yeah cause place livin feel like home  lookin real friends ever down every time somebody then find about lookin real friends wonder hidin lookin real friends gotta town post  lookin real friends bridge wanna talk nothin somebody means something spell names dreams demons times understand tell what point moon like alone again away somewhere beautiful nobody knows name  lookin real friends ever down then somebody find about lookin real friends ever down lookin real friends gotta town yeah post  yeah,2017-12-07,Camila [Target Exclusive],2017.0,155
My Oh My, camila cabello they likes good time comes alive midnight every night mama trust here thing  camila cabello yeah little older black leather jacket reputation insatiable habits onto look breathe yeah said kissed might happen  camila cabello swear life good girl tonight wanna  camila cabello dababy they likes good time comes alive midnight every night mama trust thing  dababy camila cabello look type make turn daddy yeah dababy make forget learned daddy tripping shawty whatever please kissing shawty kissing either came left went point call even yeah yeah like buyin bimmer that girl know want make take make whenever face disrespect gotta safe keep star fresh trap going bieber know call away drop come meet stand next catchin fever yeah yeah  camila cabello swear life good girl good girl good girl tonight wanna  camila cabello they likes good time comes alive midnight every night comes alive every night mama trust thing bridge camila cabello mama trust baby daddy know  camila cabello they likes good time comes alive midnight every night mama trust thing,2019-12-06,Romance,2019.0,180
Consequences, dirty tissues trust issues glasses sink lonely pillows stranger little voices head secret keeping stop bleeding lost little weight eating songs listen tell truth  loving young wild free loving cool sweet loving sunshine safe sound steady place defenses loving consequences  hesitation awkward conversation running expectation every siren ignoring paying  loving young wild free loving cool sweet loving sunshine safe sound steady place defenses loving consequences bridge said yeah  loving dumb dark cheap loving still take shots found loving sunshine poured lost much senses cause loving consequences  yeah loving,2018-01-12,Camila [Target Exclusive],2018.0,94
I Have Questions, leave burn young hurt feel doomed hotel rooms starin straight wall countin wounds tryin numb  care care care gave blood sweat heart tears care care there gone here  questions number tell think nerve tryin tear faith apart questions number would play fool never ever ever trusted questions number three swore would questions questions hauntin refrain questions questions questions questions  name safest mouth spit voice familiar sound sounds dangerous  questions number tell think nerve tryin tear faith apart questions number would play fool never ever ever trusted questions refrain questions questions questions questions bridge care care care gave blood sweat heart tears care care there gone here refrain questions questions questions questions questions yeah yeah yeah yeah yeah yeah questions questions foul play foul play questions questions questions  questions talk communicate talk wanna questions afraid fault fault miss questions,2017-05-21,,2017.0,144
OMG, camila cabello baby what conversate baby play from miami causin trouble rowdy tennessee send best come jordan guarantee gonna wanna leave like  camila cabello pull pull pull straight tokyo cannot believe come through look good today look good today yeah back back back slow when drop bounced back like look good today look good today yeah post  quavo camila cabello yeah awesome yeah awesome yeah awesome yeah  camila cabello cold like drink lose concentration take yeah cyclone make spin cause yeah like diamond cold bloom like rose girls like summer gold like  camila cabello pull pull pull straight tokyo cannot believe come yeah yeah look good today look good today yeah back back back slow when drop bounced back like look good today look good today yeah post  quavo camila cabello yeah awesome yeah awesome yeah awesome yeah  quavo camila cabello look right though know right that waist small look like lipo lipo moonwalk diamonds michael michael fine call best rings left hand rings dream quicksand dream then woke best plans yeah yeah awesome yeah smoke green boston green make play call yeah flossin cover magazines crown queen queen boujee thick pretty givin dreams yeah main reason friends like havin tackle like athlete yeah  camila cabello pull pull pull straight tokyo cannot believe come through look good today look good today yeah back back back slow when drop bounce back like look good today look good today yeah,2017-08-03,,2017.0,246
Liar, care here alone care long kinda like didn happen lips move whisper slow care good gone  said lose control want said close stop  making liar begging more startin fire making liar kinda like though startin fire  watching feel know stay yeah yeah picture hands think wanna happen kiss yeah like sees  said lose control want said close stop  making liar begging more startin fire making liar kinda like though startin fire post  yeah comes trouble startin fire bridge believe need believe believe  making liar begging more startin fire making liar kinda like though startin fire post  yeah yeah yeah yeah making liar cause clothes floor  another fire,2019-09-05,Romance,2019.0,117
