title,lyrics,release_date,Album,release_year,Word Count
Bottled Up, dinah jane dinah jane  dinah jane need diamond ring baby finer things simple things best things life free know since gave love opened eyes  dinah jane chick need work home stay sleep tonight yeah know like ride gonna ride back back make through sleep tonight yeah know like  marc bassy drinking baby cause bottled smoking baby yeah high fuck drinking baby cause bottled smoking baby yeah high fuck  dolla dinah jane both dolla bottled yeah yeah bottled yeah feeling like drunk love yeah wrist mean shit when tell mine know mean rocks little baby french vanilla ciroc yeah could anywhere world right girl woah woah  marc bassy dolla dinah jane drinking baby cause bottled baby smoking baby yeah high fuck simple things drinking baby cause bottled bottled smoking baby yeah high fuck bottled  dinah jane dolla know appeal sell could night stand real putting work feel worth gonna bust down yeah yeah yeah  dinah jane chick need woah woah work home stay yeah sleep tonight yeah know like ride gonna ride back back make yeah sleep tonight yeah know like yeah  marc bassy dinah jane dinah jane drinking baby cause bottled bottled yeah yeah smoking baby yeah high fuck high fuck drinking baby cause bottled been drinking smoking baby yeah high fuck yeah  marc bassy dinah jane dinah jane baby bottled yeah baby bottled baby bottled baby bottled yeah baby bottled baby bottled yeah baby bottled yeah bottled baby bottled yeah baby bottled yeah yeah yeah bottled bottled bottled,2018-09-21,Bottled Up — Single,2018,259
SZNS,  dinah jane boogie hoodie even storm beat rain cause thousand sunny days seasons baby spring summer fall yeah seasons baby yeah summer winter might fall spring back seasons baby spring summer fall yeah seasons baby yeah  boogie hoodie dinah jane both wanna love heart more yours battle scars show yeah yeah keep love ghetto love find whoa wrong wrong then right right lying ourselves honest season season what doin straight smart cute yeah yeah word which ones  dinah jane boogie hoodie even storm beat rain cause thousand sunny days seasons baby spring summer fall yeah seasons baby yeah summer winter might fall spring back seasons baby spring summer fall yeah seasons baby yeah post  dinah jane boogie hoodie seasons seasons shit leavin  boogie hoodie dinah jane both will ever find love again still seem mind still miss call line yeah look alright perfect look fine perfect type start over baby time yeah think dawg yeah yeah just tell confessions tell mine yeah yeah wanna crying would still love yeah believe sorrys just tell wanna tell rockin long could chanel purse givenchy yeah love yeah  dinah jane would ride toes time need know need thug hold down when actin pride aside conversatin need patience hesitations done game take last name  dinah jane boogie hoodie even storm beat rain cause thousand sunny days seasons baby spring summer fall yeah seasons baby yeah summer winter winter fall might fall spring back seasons baby spring summer fall yeah seasons baby yeah post  dinah jane boogie hoodie seasons seasons shit leavin seasons seasons shit leavin,2019-07-26,,2019,269
Heard It All Before, what change feel cause fallen outta love love wish could take back time killed three years running behind case forgot remind stood beside good loyalty thing whoa fact callin shook blowing line decline wanna come through  cause heard before live without yeah heard before girl need heard before save energy next bitch cause  wanna hear apologies standin rain rain singing alicia high school nobody touch like know wanna everything happens reason want want tell feel curve  cause heard cause heard before live without yeah heard yeah heard before girl need heard before save energy next bitch yeah cause  said care care tryna damn late sorries ands buts want second chance doubt waste breath scouting reason outie bridge cause heard before live without yeah heard before girl need heard before save energy next bitch cause  cause heard heard before live without yeah heard before girl need heard before save energy next bitch next bitch cause  bitch,2019-04-19,Dinah Jane 1,2019,162
Retrograde, yeah yeah yeah yeah yeah yeah  still friends mama know love making awkward coming over invite cookout know come baby better solo cause want smoke provoke make flex mind still together still love best confess yeah woah woah  long time know long time long seem mind tryna hold rewind nobody else know mine mine mine mine yeah  come close come close relocate relocate back that that retrograde here place where back that that retrograde retrograde rrtrograde retrograde back back retrograde retrograde retrograde work work retrograde retrograde here  still getting jealous frontin telling people trippin nothing hella feisty likey bitch like wifey down spine know stars align bring back around time feel rising sign come come come  long time know long time seem mind just tryna hold rewind nobody else know mine mine mine mine  come close come close relocate relocate back back retrograde where here place where back back retrograde retrograde retrograde retrograde retrograde back back retrograde retrograde retrograde retrograde retrograde here bridge back back back back back back back back back back back back feel tryna word around thing feel know star baby shinin feel could rearrange alphabet know sayin would  long time know long time seem mind tryna hold rewind nobody else know mine mine mine mine refrain long time know long time playing feelings they standby know nobody else know mine mine mine mine  come close come relocate where back back retrograde running here place yeah back that that retrograde come retrograde retrograde retrograde retrograde back back retrograde retrograde back retrograde,2019-05-08,,2019,263
Fix It, trying best come right know gonna hurt even here over faking everything alright know know yeah there room home cause know feel finally know know know yeah  well tired seeing mama fighting know keep fighting knows ready  well offering gonna cause know gotta trying bring light  excited reach door cause hope things changed walk inside perfect home family that happy four walls catch wait could make through yeah through keep place taught taught losing instead losing want  tired fighting ever find peace silence stop longer  ever gonna gonna cause know gotta trying bring light else gonna better minute minute minute once find trying bring light bridge twenty years living like this gets point gotta stand yourself stop seeing shit pass right time make change  ever gonna gonna cause know gotta trying bring light whoa else gonna better minute minute minute once find trying bring light,2019-04-19,Dinah Jane 1,2019,152
Lottery, frontin public freak though talkin dirty know call said girl know angel whatchu mean whatchu mean tryna keep image clean  classy ratchet scene back limousine whatever happen stay give reason better take halo mood sinful yeah lips waist tell look face addicted taste tell sumn tell trouble trouble tell sumn like know know  lottery might lottery cashin every part might lottery yeah secret alone nasty make home lottery might lottery yeah  lady there levels love from streets mile high club called said girl know saint saint privacy privacy  feel touch weak undercover sheets whatever happens stays give reason lips waist tell look face addicted taste  lottery might lottery cashin every part might lottery yeah secret alone nasty make home lottery might lottery yeah bridge whatchu mean whatchu mean trying keep image clean classy ratchet scene back limousine whatchu mean whatchu mean trying keep image clean classy ratchet scene scene better take halo better take halo mood sinful yeah know came lookin like lucky give things crave much take yeah  lottery might lottery cashin every part cashin every part yeah might lottery yeah secret alone secret nasty make home keep nasty make home lottery might lottery yeah  secret alone keep nasty make home yeah secret secret,2020-03-13,,2020,213
Missed a Spot, know head when miss shake thighs when lonely only right that twice nice when lonely  there something baby know after details every inch matters  know love under rain fallin yeah makin thunder findin shelter underneath covers love summer know love under moving like other much body lips discover love summer post  back back hate like that back back think missed spot back back back back hate like that back back think missed spot  wanna wanna hear high note touch lick fine wine back this tropical nani running back bounce face woah while ride wave baby lottery jane lips baby  know there something baby know after details every inch matters  know love under rain fallin yeah makin thunder findin shelter underneath covers love summer know love under moving like other much body lips discover love summer post  back back back hate like that back back back back back think missed spot back back hate like that back back yeah yeah think missed spot  know love woah rain fallin yeah makin thunder yeah findin shelter underneath covers love summer know love under moving like other much body lips discover love summer yeah yeah post  back back back back back hate like that back back back think missed spot yeah back back hate like that back back back back back think missed spot,2020-04-03,,2020,230
Pass Me By, want enjoy life wanna hear good advice adjust flow make relax make believe love first sight baby yeah yeah  hour look like could perfect yeah notice yeah notice like committed slip fingers make moment moment make moment yeah post  know ever slide know ever passed know ever slide need know pass need know pass need know pass  want enjoy life yeah yeah play catch spark where life could tonight baby yeah yeah  hour look like could perfect yeah notice yeah notice like committed slip fingers make moment moment make moment yeah post  know ever slide know ever passed know ever slide need know pass need know pass need know pass bridge said said said said said said whoa said yeah yeah said  hour look like could perfect yeah notice yeah notice like committed slip fingers make moment make moment yeah post  know ever slide know ever passed know ever slide need know pass,2019-04-19,Dinah Jane 1,2019,161
All 2 U,  dinah jane hansen listen listen keep wishing done wrong before college know everything miss used baby mystery  dinah jane hansen gotta back back cause know stay running game need stop start again  dinah jane hansen break make make break gave gave refrain stunna june dinah jane hansen make break make break make break gave gave  stunna june shawty sorry pickin baby call callin tryna come shawty miss scent stunna june come work still hold down shawty know worth tell really hurtin baby girl worth gettin nervous  dinah jane hansen gotta back back cause know stay running game need stop start again  dinah jane hansen break make make break gave gave refrain stunna june dinah jane hansen make break make break make break gave gave  dinah jane hansen stunna june gave gave gave,2016-08-09,,2016,140
1501, want ring ring come through need suit come show what talked bout texts send baby yeah yeah  want again fade work wanna race right back spot like there something forgot yeah need wait wait wait wait need wait wait wait wait  wait room yeah yeah ever wanna leave room know bout into when  that first round super much pressure tryin hard shoot shot shot together mornin mornin yeah yeah yeah yeah  want again fade work wanna race right back spot like there something forgot yeah yeah need wait wait wait wait wait wait need wait wait wait wait wait woah  wait room yeah yeah ever wanna leave room know bout into when bridge right back right back right back right back right back ever wanna leave room woah  wait room room yeah yeah ever wanna leave room ever wanna leave room know bout into when yeah yeah woah  wait wait wait wait,2020-03-20,,2020,160
