title,lyrics,release_date,Album,release_year,Word Count
Expectations, alone wondering been past three know club closed already seven scenarios bout changed mind knowing well told come home happened every time  wish expectations wish could head with confrontation really wish could talk instead tears turned side fucking wish expectations expect expect expect  mean need play play need side communicate respect time respect space respect energy cause waiting night warm thought  wish expectations really wish could head with confrontation really wish could talk instead tears turned side fucking wish expectations expect expect expect guitar solo  wish expectations wish could head with confrontation confrontations really wish could talk instead instead tears turned side fucking wish expectations expect expect expect,2018-10-24,,2018.0,113
Lento,letra lento verso madrugada noche acaba empezar energ elevada luces apagadas solo luna coro acelera ambiente humo sube mente pongas impaciente jamelo bailando entre gente sube baja prende demasiado caliente jamelo coro dale lento camela lento ritmo encendiendo quemando dale lento poquito lento ritmo tengo adentro siento vibrando verso keep myself need bothered negativity even bother level tone daughter bitch raised caribbean waters sigo moviendo como suave orilla llego sola sway little further light coro dale lento camela lento ritmo encendiendo quemando quemando dale lento dale lento poquito lento ritmo tengo adentro siento vibrando puente exhale time align breath mine under open exhale time aligning breath mine under open coro dale lento dale camela lento ritmo encendiendo quemando quemando dale lento poquito lento poquito lento babe ritmo tengo adentro siento vibrando,2020-03-20,Lento - Single,2020.0,131
More Than That, murda  watching walked stare cause position walking there situation tell wanna know take honest girl turn take gamble better come correct need diamonds around neck shit anybody flex baby best come somethin better might take there  know right tempting wanna would gave taste just remember belong  come stronger liquor wanna take home better convincing take more better come stronger liquor wanna take home better convincing take more stronger liquor  notice there issues take number down might playing deep love talkin might actin looking know what feel feel without even touch think that make give time  know right tempting wanna would would gave taste just remember belong  come stronger liquor wanna take home better convincing take more better come stronger liquor wanna take home better convincing take more stronger liquor  take,2019-01-11,,2019.0,138
50ft., know bullshit energy receptive keep clique exclusive gotta  some people just touch touch they really done much work work ever worst naturally inclined love love love flowin back back pull away reassess gotta protect  push negative side front eyes outta sight outta mind need feet mind body soul aligned need messin mine post  outta sight outta mind need feet outta sight outta mind outta sight outta mind need feet away outta sight outta mind outta sight outta mind  enciendo blanca velita protecci pido abuelita dame cuando mundo quita making sure burning sage prayer feeling afraid that takes days days  some people touch touch they really done much work work ever worst naturally inclined love love love flowin back back pull away reassess gotta protect  push negative side front eyes outta sight outta mind want mind need feet mind body soul aligned need messin mine post  outta sight outta mind need feet outta sight outta mind outta sight outta mind need feet away outta sight outta mind outta sight outta mind  outta sight outta mind away feet away yeah back yeah back yeah back yeah back yeah back back need feet space,2020-04-17,,2020.0,200
On Guard, lauren jauregui feline instinct cosmic intuition know truth given read feelings take patience persistence time precision trust easily given gotta wait permission open take look heart hands scars much gotta before inspire  lauren jauregui calm down there need rush  lauren jauregui staying guard gotta watch heart never really know someone keep distanc between thought really know someone post  lack lauren jauregui yeah never really know someone yeah  lack lack lauren jauregui tell block blessings blessed breakups zone wanna song reason alone know make person home guard like floyd like north uptight bring upmost like  lack lauren jauregui lack stayin guard gotta watch heart never really know someone really know someone wanna hold someone bridge lack missed east atlanta love letter duck quick fall love deep shit rush break heart baby cause defense yeah  lauren jauregui lack both staying guard guard gotta watch heart never really know someone keep keep distance distance between thought never really know someone  lauren jauregui never really know someone,2021-11-03,Prelude,2021.0,171
Invisible Chains, trapped cage sorrow said stay found beauty this pain gave strength break invisible chains  believe fairytales goals conozco virgen working soul this still demons head cold sweating woah wanna used  screaming sleep like every night just praying might light bout hundred miles deep feeling like running outta time  trapped cage sorrow said stay found beauty pain gave strength break invisible chains post  woah invisible chains woah invisible chains  still taste metal lingers lips haunt ever forget battles walk fire shadows yeah yeah fuck around handled yeah cause going back  screaming sleep like every night like every night keep running light hundred miles left feeling like might stay alive  trapped cage sorrow said sorrow said stay found beauty pain gave strength break invisible chains post  woah woah invisible chains woah invisible chains bridge late save yeah come pray cause saved myself already saved yeah yeah late save yeah come pray cause saved myself already saved myself  woah woah woah woah woah invisible chains,2020-02-07,Birds of Prey: The Album,2020.0,172
Always Love, kinda hard waking morning without when reach realize over just memories wash still sheets stay there  even though work always love always love even though hurt once love always love times locked eyes when mine always love always love  nobody talks walking away there still love feeling close mindfuck helped grow help change changing meant seeing things that change  even though work always love always love even though hurt once love always love times locked eyes when mine always love always love bridge  even though work always love always love even though hurt once always love times locked eyes when mine always love always love always love always love,2022-10-28,In Between,2022.0,114
Inside*, every time find seem lose wanna little closer mind cause lately trying little clearer real scattered thoughts twisted feelings left behind  they keep haunting clouding drowning please search carefully when open time  inside inside inside that gonna inside inside inside that gonna maybe inside inside inside that gonna  there place light space away truth truth mine govern there many voices bitter thoughts fuck projections learning them nobody louder closer  they keep haunting clouding drowning please search carefully when open time  inside inside inside that gonna inside inside inside that gonna maybe inside inside inside that gonna  yeah,2018-06-06,,2018.0,104
Colors, without wanna although tried heart rejecting what good  sorry know tiring said convincing someone feel taught that good enough believe caught bluff when everyone gone fall apart always been stay stay like colors walls paint erase  starting clear found actually addicted drugs addicted feeling fucking numb this world living there much done dismantle mental moving like made love creator watching know much told stop watching start doing listen messages promise keep coming ignoring spirit really never helped amount nothing grow,2021-10-08,Prelude,2021.0,83
Trust Issues, when young momma told loving lonely everyone like heart learn hard lessons costly spent love last  sorry think standoffish swear guarded know darlin mean cruel  trust issues know think wounded dive fair tired bein used maybe take chance damaged true post  trust issues yeah  tryna understand seems habit pushin others away thinkin stay gotta leave today wanna make mistakes  sorry think selfish help done fightin feelin helpless darlin knew would come  trust issues know think wounded dive fair tired bein used maybe take chance damaged true post  trust issues yeah  tell mine believe tell fine know through walls fucked yeah leave,2023-03-31,In Between,2023.0,110
Burning, night enchants thoughts silky skin there lightness touch where ends begin damned morning least sinner prisoner kiss burning flame  burn stake heart hand venomous snake wrapped curve waist again give taste know feel thought lick fire could cure anything take shame  baby take higher soak desire light fire make sure keep burnin know certain always worth  light morning head pray feel spirit invokes worship lays there faint hollow moaning staring around room from lips angel turn afternoon  burn stake heart hand kiss snake keeps state again give taste know feel thought lick fire could cure anything take shame  baby take higher soak desire light fire make sure keep burnin know certain always worth bridge baby take take take higher higher breakdown take higher soak desire light fire yeah make sure keep burnin know certain always worth  baby take higher soak desire light fire make sure keep burnin know certain always worth,2024-03-06,,2024.0,158
