title,lyrics,release_date,Album,release_year,Word Count
Strip That Down, quavo huncho quavo  liam payne know takin time keepin self eyes prize watchin anybody else love hard girl yeah health love cards dealt feel well  liam payne quavo know used free people want thing that changin used wanna rowdy coke bacardi sippin lightly when walk inside party girls type ferrari gear speed girl love body grinds baby yeah  liam payne quavo know love music loud come strip baby there people crowd dance hands body swing round baby swing know love music loud come strip yeah yeah yeah yeah post  sheeran liam payne strip down girl love ground girl yeah yeah yeah yeah strip down girl love ground  liam payne know since yeah swept feet know need money when love beside yeah opened heart threw away girl care bout been  liam payne quavo know used free free people want thing that changin used wanna rowdy coke bacardi sippin lightly when walk inside party girls type ferrari gear speed girl love body grinds baby  liam payne quavo know love music loud come strip baby there people crowd dance hands body swing round baby yeah know love music loud come strip yeah yeah yeah yeah post  sheeran liam payne quavo strip down girl love ground girl strip down yeah yeah yeah yeah strip down girl love ground yeah yeah yeah yeah strip down girl yeah love ground girl yeah yeah yeah yeah strip down girl love ground quavo  quavo strip thug yeah strip down word around town buzz yeah word five shots love shots promise pull shut club took nobody know know popped seal better drive slow slow know make feel eyes closed skrrt skrrt anything goes huncho huncho  liam payne know love music loud come strip baby there people crowd dance hands body swing round baby know love music loud come strip yeah yeah yeah yeah  liam payne quavo yeah yeah yeah yeah come strip yeah yeah yeah yeah nothing girl strip strip down yeah yeah yeah yeah want girl strip strip down yeah yeah yeah yeah girl come strip yeah yeah yeah yeah,2017-05-19,LP1,2017,354
For You, rita eyes alive inside beautiful something unusual eyes know home yeah every tear every fear gone thought changing thought knew thousand lives  rita free bird flying cage diving deep riding brakes bleeding love swimming veins  rita been waiting lifetime been breaking lifetime wasn looking love found love found  liam payne rita skin skin breathe feeling kiss lips made ecstasy thousand lives thousand lives  liam payne rita free bird flying cage lost diving deep riding brakes bleeding love swimming veins  rita liam payne been waiting lifetime been breaking lifetime wasn looking love found love found been waiting lifetime been breaking lifetime wasn looking love found love found  rita free bird flying cage diving deep riding brakes bleeding love swimming veins  liam payne rita both been waiting lifetime been breaking lifetime wasn looking love found love found been waiting lifetime yeah been breaking lifetime wasn looking love found love found  liam payne rita wasn looking love found love found,2018-01-05,LP1,2018,166
Familiar, balvin balvin liam payne  liam payne balvin simple your hips roll calypso  need yeah empiezo primero sabes refiero cero sabes estoy  liam payne wanted name cool wanna inside brain  liam payne famili famili famili familiar yeah feelin feelin feelin feelin what mind later tonight fill famili famili famili familiar feelin feelin feelin feelin what mind later tonight fill  liam payne your waistline bassline bass real life wanna facetime cause great minds think yeah shaped like vibrato model kind bottle well pour cause want taste taste  liam payne balvin wanted name quer nombre cool wanna inside brain  liam payne balvin famili famili famili familiar familiar feelin feelin feelin feelin familiar what mind later tonight fill okay famili famili famili familiar feelin feelin feelin feelin feelin what mind later tonight fill post  liam payne balvin solamente solamente yeah fill  balvin quisiera familiaricemos poco mica party prendemos olvida criticas entendemos crees mente metemos orita necesita mucho mejor participa lejos mejor cerquita hacerte todo permita sabes pones queda bien queda bien caes mucho mejor billete cien  liam payne famili famili famili familiar feelin feelin feelin feelin what mind later tonight fill famili famili famili familiar feelin feelin feelin feelin what mind later tonight fill post  liam payne baby familiar really wanna know yeah baby familiar fill baby familiar really wanna know yeah baby familiar fill,2018-04-20,LP1,2018,233
Both Ways, girl like ways like taste couple more call foreplay discriminate bring back place yeah like ways  girl feel yeah feel want yeah like different yeah want judge judge refrain lovin turning switching lanes like bugatti sport nothing luck involved yeah flipping body head tails sharing body like last meal three that real  said young stupid said come this make every birthday celebrate like gosh things believe  girl like ways like taste couple more call foreplay discriminate bring back place yeah like ways both ways both ways ways both ways  four morning yeah else wanna invite never many hands body mine mine refrain lovin turning switching lanes like bugatti sport nothing luck involved yeah flipping body head tails sharing body like last meal three that real  said young young stupid said come watch this make every birthday celebrate like gosh things believe  girl like ways both ways like taste taste couple more call foreplay discriminate bring back place yeah like ways both ways both ways ways both ways bridge make every birthday celebrate like gosh things believe  girl like ways both ways like taste like taste couple more call foreplay discriminate bring back place yeah like ways both ways both ways ways said bring back place yeah like ways both ways both ways ways said bring back place yeah like ways  both ways ways,2019-12-06,LP1,2019,232
Bedroom Floor, baby heard talking lately telling friends much hate calling lonely when lonely yeah  saying real real nice real nice things when touching getting real real real real real jealous when every iphone iphone rings telling told told told  said over said over clothes different bedroom floor said over said over clothes different bedroom floor clothes different bedroom floor clothes different bedroom floor yeah  baby always like want make bring dirty laundry always until yeah  saying real real nice real nice things when touching getting real real real real real jealous when every iphone iphone rings telling told told told  said over said over clothes different bedroom floor said over said over clothes different bedroom floor clothes different bedroom floor clothes different bedroom floor yeah said over said over clothes different bedroom floor clothes different bedroom floor yeah bridge bedroom floor your clothes saying something different wanna break baby  said over said over clothes different bedroom floor said over said over clothes different bedroom floor clothes different bedroom floor clothes different bedroom floor yeah yeah said over said over clothes different bedroom floor clothes different bedroom floor yeah,2017-10-20,LP1,2017,194
Stack It Up, liam payne wanna broke wanna livin tryna club wanna want wear nice shoes  liam payne workin gettin enough satisfy cause dreams money mind  liam payne wanna stack gotta work nobody gonna doin dreams time enough stack gotta work yeah money mind money mind  liam payne wanna flex hard like right need give valet like dreams  liam payne tried better enough satisfy dreams money mind  liam payne wanna stack gotta work nobody gonna doin dreams time enough stack gotta work yeah money mind money mind  boogie hoodie yeah know shit come free gotta work gotta work lamborghini urus bought first skrrt first caught creepin purse purse think money worst money woulda lost loudest ones brokest shit talker loudest ones brokest strugglin girls called friend money comin that money comin saint laurent fiend louis luggages yeah yeah took celine bought couple luggages wasn always sweet capri suns fifty cents yeah hate reminisce reminisce  liam payne wanna stack gotta work nobody gonna doin dreams time enough stack gotta work yeah money mind money mind money mind,2019-09-18,LP1,2019,181
First Time, french montana montana know hear haan  liam payne french montana always pick first time liam payne hopin would check stop thinking bout first time yeah like spell  liam payne make crazy seeing that daily girl savage lady know style smokin lately yeah  liam payne tryna find private rush behind yeah wanna friends tried never silent yeah  liam payne always pick first time hopin would check stop thinking bout first time yeah like spell post  liam payne yeah yeah yeah like spell  liam payne brush yeah know hate playing tough fake girl savage lady while counting days yeah  liam payne tryna find private rush behind yeah wanna friends tried never silent yeah  liam payne always pick first time hopin would check stop thinking bout first time yeah like spell post  liam payne yeah yeah like spell  french montana montana savage like rihanna love cars love diamonds loves stars watches timeless time mean really grind coups silly ring around finger half milli pick pick pull pull boys boys hood tryna fight like tyson snipe rifle that worst thing pick first ring  liam payne always pick first time hopin would check stop thinking bout first time yeah like spell post  liam payne yeah yeah like spell  liam payne hopin would check stop thinking bout first time yeah like spell,2018-08-24,First Time,2018,230
Naughty List, liam payne  liam payne turned lights party said goodbyes stepped club waiting outside gave coat cause could cold  liam payne driver messaged said stuck snow said there walking home next thing know drying clothes mean trouble  liam payne dixie amelio naughty list must kissed santa things naughty list undern mistletoe mistl supposed take slow baby favourite gift naughty list yeah  dixie amelio under tree christmas morning there nothing hundred messages like where been wanna time  dixie amelio driver messaged stuck snow snow said letting next thing know drying clothes know meant trouble  liam payne dixie amelio dixie amelio naughty list must kissed santa things naughty list naughty list yeah underneath mistletoe supposed take slow baby favourite gift naughty list bridge liam payne three five days yeah round place yeah misbehave with kisses like snowflakes body body three five days round place round misbehave with kisses like snowflakes body  liam payne dixie amelio liam payne naughty list must kissed santa things naughty list underneath mistletoe mistletoe supposed take slow baby favourite gift naughty list,2020-10-29,,2020,181
All I Want (For Christmas), tell wrong singing christmas songs instead shouting night long like keep fighting street when home wrapped sheets putting presents underneath tree  know fair share breaking making promise there give  make december maybe make forever cause want christmas this make december every year together baby want christmas this  greatest year thick thin made here just keep holding onto hold made hardest part followed brightest star wanna right  know fair share breaking yeah making promise there give  make december maybe make forever cause want christmas this make december every year together baby want christmas this bridge want yeah want yeah want yeah want yeah  make december want yeah every year together want yeah cause want christmas want yeah,2019-10-25,LP1,2019,123
Live Forever, jaded faded self medicated know waiting yeah yeah broken smoking till came into focus sobered  wasn even trying chase high wanna feel know gonna miss crazy nights made wanna  always gonna live fast young slow came along yeah burn bright burn make wanna live forever runnin gonna give nothing ever high like some somehow gonna live forever post  forever gonna live forever  wreckless restless hectic head yeah yeah much gone many know alive  wasn even trying chase high wanna feel know gonna miss crazy nights made wanna  always gonna live fast young slow came along yeah burn bright burn make wanna live forever runnin gonna give nothing ever high like some somehow gonna live forever post  forever gonna live forever some somehow gonna live forever bridge party over good times roll still gonna lose control lose mind getting high high party over good times roll still gonna lose control lose mind getting high refrain gonna live forever forever ever gonna live forever forever ever gonna live forever forever ever gonna live forever forever ever gonna live forever  live fast young slow came along yeah burn bright burn make wanna live forever,2019-12-06,LP1,2019,200
