title,lyrics,release_date,Album,release_year,Word Count
Back To You, bebe rexha know know know well days even know myself always thought someone else thought would felt yeah  bebe rexha call never even answer tell done wicked games numb laughter that forget pain  bebe rexha stress kill drag down fuck ground screaming know make stop love hate take keep coming back  louis tomlinson know friends give advice like move mind think even tried cornered hands tied  louis tomlinson bebe rexha addicted drama tell done wicked games numb laughter that forget pain  louis tomlinson stress kill drag down fuck ground screaming know make stop love hate take keep coming back post  louis tomlinson back keep coming back back keep coming back bridge louis tomlinson guess never know bullshit through guess never know  bebe rexha louis tomlinson yeah kiss harder pill ease pain cause know addicted drama baby again  louis tomlinson bebe rexha stress kill drag down fuck ground screaming know make stop love hate take keep coming back post  louis tomlinson bebe rexha louis tomlinson back keep coming back back keep coming back back keep coming back,2017-07-21,Pop Party 2017,2017,186
Always You, went amsterdam without could think known went tokyo drink drink still felt alone known  went many places looking faces could feel feel  wastin time always always chasin high always always should never should never baby  went heathrow walked door felt nothing like home cause home waiting wrap legs around know hate smoke without know  wastin time always always chasin high always always should never should never baby should never should never baby  went many places looking faces could feel feel  wastin time always always chasin high always always should never should never baby should never should never baby  baby baby,2020-01-31,Walls (Japanese Edition),2020,108
Only the Brave, pour mercy mercy fire history breakin rules cryin like fool tall stories page short glories fade close enough touch never cared love  church burnt romances gone pray solo song brave  truth tell darling fell like enough dying stars tall tale hello hello goodbye goodbye  pour mercy mercy fall upon knees told come know know lonely shadow dances cradle grave solo song brave,2020-01-31,Walls (Japanese Edition),2020,66
Defenceless, come runnin like moth flame tell take easy easier wish need much hate sleepin problems like solve dreams wake early morning still sheets lost head spinnin again tryna find  been night night runnin lines truth been night sure right much lose  never defenceless never defenceless keep buildin fences never defenceless post  keep buildin fences never defenceless  keep strong acting like feel pain know know inside lost pride thing prove  been night night runnin lines truth been night sure right much lose  never defenceless never defenceless keep buildin fences never defenceless post  keep buildin fences never defenceless bridge hope asking much just wanna loved defensive tired tough just wanna loved  never defenceless never defenceless keep buildin fences never defenceless post  keep buildin fences defenceless  never defenceless never defenceless keep buildin fences never defenceless,2020-01-31,Walls (Japanese Edition),2020,143
Two of Us, minute since called just hear answerphone yeah know this leave message alone this morning woke still dreaming with memories playing head never know much miss took wish instead  told give diamonds turn dust fade away  keep night living life best always keep next living life even know alone tattooed heart words favourite song know looking down swear gonna make proud living life  feel blood written looking back every mirror know waiting again  told give diamonds turn dust fade away fade away  keep night living life best always keep next living life even know alone tattooed heart words favourite song know looking down swear gonna make proud living life bridge promised this swear living through everything ever  keep night living life best always keep next living life even know alone tattooed heart words favourite song know looking down swear gonna make proud living life post  life living life  like started just else hold heart life,2019-03-07,Walls (Japanese Edition),2019,163
Miss You, imagination something takin smiles fakin everythin great everythin fucking great goin every weekend starin stars ceiling hollywood friends gotta them such good time believe time  tuesday night glazed eyes just pint five does even matter anyway  dancin tables face with people better singing till last call tune should laughing there something wrong hits lights shit maybe miss  just like sober asking myself over maybe lying told everythin great everythin fucking great thoughts feelings cheers need them checking phone evenin such good time believe time  tuesday night glazed eyes just pint five does even matter anyway  dancin tables face with people better singing till last call tune should laughing there something wrong hits lights shit maybe miss bridge asking friends sorry they give time there need worry even phone even alone shit changes love strangers when feel comin throw away another shots cause matter anyway  dancin tables face with people better singing till last call tune should laughing there something wrong hits lights dancin tables face with people better singing till last call tune should laughing there something wrong hits lights shit maybe miss,2017-12-01,Walls (Japanese Edition),2017,190
Too Young, young know everything young wish could seen along sorry that hurt darling young  looking back lately ever known hard think could ever hate everything feeling different  believe gave pressure when said love like would never last cause know better realize yeah realize  young know everything young wish could seen along sorry hurt darling young young young  face face kitchen table this everything waited finally conversation that wish could before  believe gave pressure when said love like would never last cause didn know better realize yeah realize  young know everything young wish could seen along sorry hurt darling young young young bridge years since seen face tryna find better words before moment slip away cause realize  young know everything young wish could seen along sorry hurt darling young young young young young,2020-01-31,Walls (Japanese Edition),2020,139
Copy of a Copy of a Copy, curse dreamers divin head first broken beaks dead birds glass there cryin spilled blood carin kills love kiss bring back  know first blow hits cold  young hush crying tears away nothing original there nothing left first last bleed every broken heart copy copy copy copy copy copy  hear howlin lungs hurt comfort strange together been forever  know first blow hits cold  young hush crying tears away nothing original there nothing left first last bleed every broken heart copy copy copy copy copy copy  bridge  young hush crying tears away nothing original there nothing left first last bleed every broken heart copy copy copy copy copy copy copy copy copy copy copy copy,2022-11-11,Faith in the Future (Target Exclusive),2022,120
Fearless, cash weekend treasures suit second wife saying that could done better just remember seen that fire alight  tell tell still remember feelin young  tell truth tell still remember feelin young strong enough wrong front people just tonight look inside spark memory strong enough wrong front people post  fearless fearless fearless fearless  happiness always measured life design drive then feel better ever know well lies  tell tell still remember feelin young  tell truth tell still remember feelin young strong enough wrong front people just tonight look inside spark memory strong enough wrong front people post  fearless fearless fearless fearless fearless fearless fearless fearless  tell tell still remember feelin young,2020-01-31,Walls (Japanese Edition),2020,117
Habit, always said mess eventually told that expect from shouldn come surprise anymore know said give another chance knew truth advance that mentally already door  never thought giving would hard missing addictive heart  habit break feelin down shiver shake habit break high need right habit break  took time cause energy playing someone heard supposed honestly choose anymore ages different stages come princess park always need front front  habit break feelin down shiver shake habit break high need right habit break bridge give time space control sorry down guess know already knew better miss  habit break feelin down shiver shake habit break high need right habit break  habit break feelin down shiver shake habit break high need right habit break,2020-01-31,Walls (Japanese Edition),2020,125
