title,lyrics,release_date,Album,release_year,Word Count
Slow Hands,  take back place that said right face cause want yeah want baby thinkin bout hope feel yeah cause want yeah want baby  slow slow hands like sweat drippin dirty laundry chance that leavin without know yeah already know stoppin your plans those slow hands slow hands  wanna take time could this baby night yeah cause want yeah want baby  slow slow hands like sweat drippin dirty laundry chance that leavin without know yeah already know stoppin your plans those slow hands bridge fingertips puttin show wanna alone take home take home fingertips puttin show tell want baby yeah  slow hands like sweat drippin dirty laundry chance that leavin without know yeah already know stoppin slow hands like sweat drippin dirty laundry chance that leavin without know yeah already know stoppin your plans those slow hands yeah slow hands slow hands,2017-05-04,Flicker (Target Exclusive/Japanese Edition),2017,146
This Town, waking kiss nobody there smell perfume still stuck hard yesterday thought shadow running round funny things never change town stars  want tell everything words never first time around remember everything from children playing fairground wish  whole world watching still dance drive highways byways over truth everything comes back  moved someone arms around hard hard  want tell everything words never first time around remember everything from children playing fairground wish  because whole world watching still dance drive highways byways over truth everything comes back still make nervous walk room them butterflies come alive next over truth everything comes back bridge know wrong that move there something  whole world watching still dance drive highways byways over truth everything comes back still make nervous walk room them butterflies come alive next over truth everything comes back everything comes back,2016-09-29,Flicker (Target Exclusive/Japanese Edition),2016,143
Too Much to Ask, waitin someone only yesterday smile back face waitin someone  love feel rough thinkin  shadow dancin without first time heart hopin walk right tonight tell things regret cause bein honest that askin much post  much  someone movin outside lights come drive forget close eyes still think sometimes  love watch comin feel fucked love  shadow dancin without first time heart hopin walk right tonight tell things regret cause bein honest that askin much  bridge  shadow dancin without first time heart hopin walk right tonight tell things regret cause bein honest shadow dancin without first time heart hopin walk right tonight tell things regret cause bein honest that askin much  that askin much that askin much,2017-09-15,Flicker (Target Exclusive/Japanese Edition),2017,123
Flicker, when feel love taken when know there somethin missin dark barely hangin then rest head upon chest feel like nothin left afraid gone  then think start echoes spark remember magic electricity then look heart there light dark still flicker hope first gave that wanna keep please leave please leave  when sleepin hear patterns breathin tell things never heard before asking questions ceilin never knowing thinkin afraid gone  then think start echoes spark remember magic electricity then look heart there light dark still flicker hope first gave that wanna keep please leave please leave bridge want pass hope last last long  then think start echoes spark remember magic electricity then look heart there light dark still flicker hope first gave that wanna keep please leave please leave,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,131
Nice to Meet Ya, like talk like things wear want number tattooed swear cause morning comes know there every time turn around disappear  wanna blow mind come swear gonna take somewhere warm know adore cause morning comes know there every time turn around disappear  love love nice meet love love refrain nice meet what name treat drink  like talk like things wear want number tattooed swear cause morning comes know there every time turn around disappear  love love nice meet love love bridge minute there next gone been waiting night come know need know want know need know need refrain nice meet what name treat drink  nice meet love where been love treat love drink love nice meet,2019-10-04,Heartbreak Weather 5,2019,120
Put a Little Love on Me, fight high holdin love came cause nothing holdin wrong that still wonder wrong still know heart  dressed nowhere tears falling lights another friday night tryna show hate weekend cause nobody callin still much love hidden beneath skin darlin  little love little love when lights come there shadows dancin look around heart collapsin cause need little love  wrote wrote till words laughed cried until worst wrong still wonder wrong still know heart  dressed nowhere tears falling lights another friday night tryna show hate weekend cause nobody callin still much love hidden beneath skin will someone  little love little love when lights come there shadows dancin look around heart collapsin cause need little love bridge last night awake stuck things close eyes first thing hear  little love little love when lights come ones dancing look around standing asking need love  need love,2019-12-06,Heartbreak Weather 5,2019,148
Heaven, strange light revolves around float across room your touch made something heaven hold candle made something complicated enjoy view hard human much answer that  knows could even love starts grow control flames heaven same  revelations dance across floor beyond infatuation obsessively adore that  believe believe could kiss better this  knows could even love starts grow control flames heaven same knows could even love starts grow control flames heaven same post  heaven same  believe believe could kiss better than better this  knows could even love starts grow control even love flames heaven same knows could even love starts grow control flames heaven,2023-02-17,The Show: The Encore,2023,109
Black And White, that first night standin door fumblin keys kissed wanna come inside cause wanna night then took hand followed  yeah black white crystal clear starlit night gorgeous colours promise love rest life standing dress swear front friends there never another promise love rest life  sittin livin room tellin stories share drink there vision holdin mind sixty five when first know always knew  black white crystal clear starlit night gorgeous colours promise love rest life standing dress swear front friends there never another promise love rest life bridge want world witness finally love gotta give back promise picket fences sunny afternoons night close eyes  black white crystal clear starlit night there never another promise love black white crystal clear starlit night gorgeous colours promise love rest life standing dress swear front friends there never another never promise love rest life  there never another promise love rest life,2020-03-13,Heartbreak Weather 5,2020,151
On the Loose, know like mind wraps around truth jump flight meet night make tear room  loves everybody watching knows body moves loves crawl back says that loves nobody else  loose coming coming loose coming coming loose coming coming loose coming coming  dance dark real work eyes could burn room understand know lose  loves everybody watching knows body moves loves crawl back says that loves nobody else  loose coming coming loose coming coming loose coming coming loose coming coming bridge mind pull tight then trade something know like fell twice warning  loves everybody watching knows body moves loves crawl back says that loves nobody else loves everybody watching knows body moves loves crawl back says that loves nobody else  loose coming coming loose coming coming loose coming coming loose coming coming loose loose,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,138
Seeing Blind, niall horan niall horan maren morris seen seen paper dreams watched unfold screen never understood heard have heard speak million words talkin first never thought would  niall horan maren morris took surprise believe eyes must seein blind good mine lookin eyes must seein blind  maren morris niall horan maren morris young heart always make lovin never knew could from different point view feels good true found missin piece  niall horan maren morris took surprise believe eyes must seein blind good mine lookin eyes must seein blind post  niall horan maren morris bridge niall horan maren morris look eyes sight describe must seein blind  niall horan maren morris took surprise believe eyes must seein blind good mine lookin eyes must seein blind  niall horan maren morris must seein blind,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,135
