title,lyrics,release_date,Album,release_year,Word Count
Wild Side, normani ready pull ready baby wanna shoot shot cause bulletproof yeah load baby wanna ready pull ready  normani this type shit wildin last minute trips islands drip drip drip slide baby right hesitate cause know like bakin cake sweet baby like bite  normani keep talkin think often cautious wanna wild take ride show wild side know while wanna wild  normani wanna drive crazy crazy pull inside baby fuckin like oopsie daisy ands buts maybes laid shit lazy need roll shit like skatin yeah baby hold shit hate waitin shoot shot impati  normani this type shit wildin last minute trips islands drip drip drip slide baby right hesitate cause know like bakin cake sweet baby like bite  normani keep talkin think often cautious wanna wild take ride show wild side know while wanna wild  cardi look melo turn round treat like watch bust kitchen floor right towel dick want tell want back stomach baby blow like trumpet probably suck watermelon straw believe every hair come take mugler waitin lingerie drive pussy like bombs away boom nothing robe house wanna pretty pink toes mouth send nudes phone workin gotta shit person believe  cardi normani keep talkin want comin inside cautious wanna wild take ride show wild side know while wanna wild  normani starrah pull benz make baby shit again yeah pull drop yeah makin shit yeah pull benz make baby shit again yeah pull drop yeah makin shit yeah,2021-07-16,DOPAMINE,2021,246
Motivation, break motivation stay give tonight baby turn around give innovation cause right  good good baby good good baby leavin solo regular regular keep keep fightin keep keep fightin cause know thing here regular regular  fallin would ever somethin instead fallin right yeah  break motivation stay give tonight baby turn around give innovation cause right think think think take look little motivation alright  baby baby know there better better late make tell yeah naked tell cause know there better better  fallin would ever somethin instead fallin right right  break motivation stay give tonight give tonight baby turn around give innovation cause right think think think take look little motivation alright bridge little motivation  break motivation stay give tonight baby turn around give innovation cause right think think think take look little motivation alright ,2019-08-16,Motivation - Single,2019,141
Waves, normani thank weekend friends rather liquor sink than thoughts thinking when someone else feeling like cheating might deep when much shut start creep know everyone sick reasons come like seasons  normani first blame want fucking hate love help myself when wanna leave that need help myself  normani come waves waves waves every hour every come waves yeah  normani keep going motions ended long numb emotions flood memory like ocean drowning devotion  normani first blame want fucking hate love help myself when wanna leave that need help myself  normani come waves waves waves every hour every come waves yeah come waves  lack yeah come downs yeah know tryna ride ride slow deep breath tide hold tight stride eyes come monsoons made love full moon yeah wave like water trend start this start first love hate dare replace crazy crazy ecstatic high crashed cause made damn  normani lack come waves waves waves yeah yeah every hour every hate come waves come waves waves waves come waves come waves every hour every yeah yeah yeah  normani come waves come waves yeah yeah come waves,2018-11-15,,2018,190
Candy Paint, bank roll thumbin baby know comin booty bubonic move want girl shit baby runnin make boom boom clap like drummin refrain shake make tick tick tick brum bumpin shake make tick tick tick tick brum bumpin whippin shit could turn nothin somethin make tick tick tick bumpin  make nigga race wanted baby could take place wanted could bank spend cake wanted told could diamonds face wanted  take might never back baddie know booty candy painted diamond back nigga know when finished baby back baby back booty candy painted diamond back nigga know  round baddest used average know show took wrist took neck freezed took whip speed need nigga beat refrain shake make tick tick tick brum bumpin shake make tick tick tick tick brum bumpin whippin shit could turn nothin somethin make tick tick tick bumpin  make nigga race wanted baby could take place wanted could bank spend cake wanted told could diamonds face wanted  take might never back baddie know booty candy painted diamond back nigga know when finished baby back baby back booty candy painted diamond back nigga know bridge handle sweet like candy sweet sweet taste like candy handle sweet like candy sweet sweet taste like candy  take might never back baddie know booty candy painted diamond back nigga know when finished baby back baby back booty candy painted diamond back nigga know,2024-05-31,DOPAMINE,2024,233
Checklist, wizkid normani gyal come whine yeah yeah yeah yeah yeah  normani addy need diamonds shining diamonds shining keep tryna keep like checklist slow whine slow whine body cold like necklace post  normani straight heaven baby blessing come teach lesson yeah straight heaven baby blessing come teach lesson  normani come show neck bout might show check bout might show bout give check moving around make feel like drown make feel like only know  normani addy need diamonds shining diamonds shining keep tryna keep like checklist slow whine slow whine body cold like necklace post  normani straight heaven baby blessing come teach lesson yeah straight heaven baby blessing come teach lesson  wizkid gyal body cold like necklace mind really touch this gold cold whine this this straight checklist loving love cause reckless girl sinner come bless baby girl stress gyal kill vibe  normani addy need diamonds shining diamonds shining keep tryna keep like checklist slow whine slow whine body cold like necklace  wizkid need likkle time just give keys life baby girl show vibe baby girl show light need likkle time said give keys life baby girl show vibe take control control,2018-10-22,Normani x Calvin Harris,2018,199
Fair, hundred days countin know favorite still when tell myself always will feel feel time heal time kill  play mind like rehearsed know repurpose fakin hurt like this carry carry burdens time workin know heartbreak perfect  fair moved cause swear haven right grown still stuck habits cause finding strange that better average hearts break middle happen post  yeah better better  maybe could trade places feel betrayed could feel shameless carry weight gains take ways might touch  cause plays mind like rehearsed know repurpose fakin hurt like this carry carry burdens time workin know heartbreak perfect  fair moved fair cause swear right grown still stuck habits cause finding strange that better average hearts break middle tell happen post  yeah yeah better better,2022-03-18,,2022,128
Slow Down, normani everybody slow down everybody everybody slow down everybody down cool wanna slow doubt remember night house remember time broke down saying happy dropped chain knowing hold down  normani champagne took clothes champagne cause girls make make like soda make make dose still stealing time still feel heart asking  normani could real scared feel this make world still could feel this risk love right make lonely disappear could could real could real  normani nobody home nobody nobody home everybody night life flow when exit club putting show doubt tryna move like dummy tryna move real trust tryna show people better touch  normani champagne took clothes champagne missing phone calls swimming like like fucking slow rocking boat still stealing time still feel heart asking  normani could real scared feel this make world still could feel this risk love right here make lonely disappear could could real could real  normani could real real real could real could could,2018-10-22,Normani x Calvin Harris,2018,163
Wild Side (Extended Version), normani ready pull ready baby wanna shoot shot cause bulletproof yeah load baby wanna ready pull ready  normani this type shit wildin last minute trips islands drip drip drip slide baby right hesitate cause know like baking cake sweet baby like bite  normani keep talkin think often cautious wanna wild take ride show wild side know while wanna wild  normani wanna drive crazy crazy pull inside baby fuckin like oopsie daisy ands buts maybes laid shit lazy need roll shit like skatin yeah baby hold shit waitin shoot shot impatient  normani this type shit wildin last minute trips islands drip drip drip slide baby right hesitate cause know like baking cake sweet baby like bite  normani keep talkin think often cautious wanna wild take ride show wild side know while wanna wild bridge normani yeah know right time baby bring like know need time times times know need baby right time baby bring like puttin overtime overdrive yeah know right time baby bring like know need time times times know need baby right time baby bring like puttin overtime overdrive  cardi melo turn round treat like watch bust kitchen floor right towel dick want tell want back stomach baby blow like trumpet prolly suck watermelon straw believe every hair come take mugler waitin lingerie drive pussy like bombs away boom nothin robe house wanna pretty pink toes mouth send nudes phone workin gotta shit person believe  normani keep talkin think often cautious wanna wild take ride show wild side know while wanna wild  normani starrah pull benz make baby shit again yeah pull drop yeah makin shit yeah pull benz make baby shit again pull drop yeah makin shit yeah,2021-07-23,Wild Side - Single,2021,289
1:59, normani turn turn  normani phone ringin time what mind brrt call come through fantasize want times side clocks rooms  normani back vibe again hard fight again shit hide again  normani when alone talk much shit yeah when alone talk much shit what  gunna tell girl like things sexy camera leave melt room room fuckin made love tunes fuckin shrooms lock move baby help heal pain heal pain this feel like lust feel love veins veins tell babe tell babe made love chemistry keep sane  normani gunna back vibe back vibe again hard find hard find again shit hide shit hide again  normani when alone when when talk much shit what what brrt bridge normani text know back gets every time know love things baby every time spent long time tryna away baby catch every time when text where lettin know back gets every time  normani when alone alone gonna talk much shit yeah what when alone yeah talk much shit shit whatever wanna what  normani yeah wanna,2024-04-26,DOPAMINE,2024,176
Big Boy, starrah  normani starrah kickin coolin bitch told stick move thicker smoothies only ever type shit movies only ever type shit life caught cornbread brought they really want this different shit this caught really blame  normani cause bitch bitch bling bling blaow like what wrist bling bling blaow that platinum hits bling bling blaow that billboard shit  normani normani starrah just used bump andr small change turn small pieces boys blicky make nigga fuck like small change turn small piec boys blicky make nigga fuck like small chang turn small pieces boys blicky make nigga fuck like small change turn small pieces boys  normani starrah roll yeah pimpin like brought niggas throwin salt hatin nigga pussy good please caught haha really blame  normani normani starrah cause bitch bitch bling bling blaow like what wrist bling bling blaow that platinum hits bling bling blaow that billboard shit  normani normani starrah just used bump andr small change turn small pieces boys blicky make nigga fuck like small change turn small pieces boys blicky make nigga fuck like small change turn small pieces boys blicky make nigga fuck like small change turn small pieces boys  starrah shawty know thicker snicker messin liquor brrr nigga callin pick brrr goddamn really blame  starrah starrah normani normani cause bitch bitch bling bling blaow like what wrist bling bling blaow that platinum hits bling bling blaow that billboard shit  normani normani starrah this used bump andr small change turn small pieces boys blicky make nigga fuck like small change turn small pieces boys blicky make nigga fuck like small change turn small pieces boys blicky make nigga fuck like small change turn small pieces boys,2024-06-14,DOPAMINE,2024,287
